ID,Original Text,Retweet,Sentiment Score,Sentiment Analysis,User
894365263717642240,"If most Trump voters are honest, they'll admit they voted for him simply to fuck the system up because it's passed them by.",False,Neutral,0.1531,409682525
894365263499415552,"RT @ms_erika74: It's funny watching the left cry about Trump TV. Obama had CNN, ABC, MSNBC, MTV.... https://t.co/4bakgq6dHk",True,Neutral,-0.0516,3927572774
894365263449214980,"RT @funky4lyf: Your ""black"" Trump conservatives use stock photos to sell their money-making gimmick. https://t.co/fy5o6ZR8vr",True,Neutral,0.0,2164644368
894365263222763522,RT @Rosie: thank u bill moyers -  https://t.co/z4v3YxkbuF #Resist,True,Positive,0.3612,2935571366
894365262950129669,"Trump, America's Boy King: Golf and Television Won't Make America Great Again https://t.co/pXjQOCxmaQ",False,Negative,-0.5096,2740501348
894365262903988226,"@DemsTalk Well, let's say less imbalanced. Their still@tting way right. It's just trump@tv is prone in the gutter.",False,Positive,0.2732,164496237
894365262732029956,"RT @Carolin17951107: https://t.co/UF3TVifmtJ These ""children"" DON'T belong here!! GET THEM OUT OF THE USA!!",True,Neutral,0.0,785234767587442688
894365262438432768,RT @kwilli1046: If Obama ran against Trump for President of the United States? Who would win?,True,Positive,0.7882,750846498217205760
894365260303523840,@azcentral Give me a break! McCain was all for it until Trump became President. Two time loser McVAIN wasn't and never has been a hero!,False,Negative,-0.785,1433899194
894365259821088768,"RT @funky4lyf: Your ""black"" Trump conservatives use stock photos to sell their money-making gimmick. https://t.co/fy5o6ZR8vr",True,Neutral,0.0,293197505
894365259665944576,@Brenda77526425 @JJohnson2u @vrb1955 @sjneedsanap @WhiteHouse America - and Americans - need to be stronger and more persistent than Trump.,False,Positive,0.3818,266706213
894365257686147072,"RT @Cernovich: Trump supporters outside White House with ""Fire McMaster"" signs. https://t.co/Vrg4rCJIJ0",True,Neutral,0.128,762341141769433088
894365256440348673,RT @BreitbartNews: The plot thickens. https://t.co/dB3wYYYXAT,True,Neutral,0.0,15563891
894365256167825408,@gabe__01 boo. go trump,False,Neutral,0.0,2553566420
894365255786254337,RT @FoxNews: .@SebGorka: John Kelly Will Get to the Bottom of Leaks https://t.co/P4rA2OhtFT,True,Neutral,0.0,757390775176921088
894365255157075968,RT @rescuetracker81: David Brock's Share Blue Plan To Delegitimize Trump and anyone who associates with him https://t.co/P0WJjzG22I,True,Positive,0.296,1191313830
894365255026974720,"@TheJeffreyJeff @firstroundj @F__U__Trump @BaseZombie @dennisttt Amazing night! Such a great group of people, loved it!",False,Positive,0.9244,3321433093
894365254200721408,@sunny_rub30 @w_terrence @MaxineWaters @TheView @realDonaldTrump RT- Let's Trend #Maxine4TheNutHouse https://t.co/erygy2Xtge,True,Neutral,0.0,702291903673298944
894365253919793152,RT @ucameback: Biggest downgrade since trump https://t.co/JuKRj43fWx,True,Neutral,0.0,741353919041961984
894365253345185796,RT @williamlegate: The person Trump retweeted &amp; thanked today doesn't exist. https://t.co/HqfmGB4ld9,True,Positive,0.4404,15808113
894365253143851008,"@NingaDog @TheRoadbeer @Money_Cheerios Who you vote for is your business. As for me, I have never voted for a Democrat. That includes Trump.",False,Neutral,0.0,746884292689571840
894365252707651584,The vacationer in chief.... https://t.co/iuQmRilQk7,False,Neutral,0.0,19856904
894365252648939520,RT @tinyhandspb: Trump is guilty of obstruction #TrumpRussia https://t.co/dRy18INXc6 #TW #EnoughIsEnough,True,Negative,-0.4215,626459576
